site,site_name,k_mean,k_se,k_gm,k_observs,light_observs,em_mn,em_se,df,lower.CL,upper.CL
P7CBI,CLAPBOARD ISLAND - P7CBI,0.41153965132342907,0.018294007206770848,0.40488284671463953,18,207,0.40521565750179445,0.028921476165834518,263.50691679400256,0.3520894810342159,0.4663579514000157
FR09,FORE RIVER - FR09,0.49696752461195853,0.012844678295932107,0.49198043815200465,30,418,0.49340234465459387,0.028658791548085937,263.50691679400256,0.44008024602886014,0.5531851881728989
P6FGG,FORT GORGES - P6FGG,0.49718114538655794,0.024090452167728357,0.4867705154140655,18,193,0.49936479720842925,0.032985032046256905,263.50691679400256,0.43846329682056434,0.5687253699437134
FR07,FORE RIVER - FR07,0.5644085565463063,0.06244253857370494,0.5570218275120454,3,43,0.5653326478626703,0.10458269862160985,263.50691679400256,0.3927453011213708,0.8137614933314024
FR05A,FORE RIVER - FR05A,0.5946173957965574,NA,0.5946173957965574,1,14,0.5982193799284501,0.20264045060565472,263.50691679400256,0.30703974820486657,1.1655377800896307
HR05,HARRASEEKET RIVER - HR05,0.6082730609413072,0.0441445614617599,0.6050172963562331,3,42,0.6073434956068489,0.11237724453258592,263.50691679400256,0.4218996638415194,0.8742982118006751
FR04,FORE RIVER - FR04,0.6160276825119445,0.036785869947605646,0.6129247744728902,4,55,0.614920406997398,0.10526959063039727,263.50691679400256,0.4389625393385127,0.8614108791872265
BMR02,BANDM RAILROAD TRESTLE - BMR02,0.629065483199249,0.014929112774398741,0.6240304380881107,28,237,0.6270584064615409,0.033996753991815044,263.50691679400256,0.563567713292987,0.697701865879725
LC02,LONG CREEK - LC02,0.6291342243322552,0.041066524882288,0.6254165003515896,4,29,0.6332020985893673,0.09435449747995382,263.50691679400256,0.4721914729432013,0.8491150743550326
HR04,HARRASEEKET RIVER - HR04,0.6456686645660755,0.019209661122565825,0.645087686578633,3,39,0.6467475831960282,0.11812949964292913,263.50691679400256,0.45138185360601574,0.9266709173802923
EEB18,EAST END BEACH - EEB18,0.6525583206981862,0.016380589921013152,0.6472239654883611,28,215,0.6483862011094146,0.03281085803210294,263.50691679400256,0.5868956813823824,0.7163192354710656
CBPR,PRESUMPSCOT RIVER - CBPR,0.6681725659201303,0.044423254952656824,0.6414168111762243,28,204,0.6680956845849472,0.03383548343443821,263.50691679400256,0.604687427910475,0.7381530079158722
FR03,FORE RIVER - FR03,0.7014607057547507,0.10555837307454582,0.6812620157427098,4,40,0.6934508835627113,0.10383642820313041,263.50691679400256,0.5163804557992979,0.9312399850020793
FR05B,FORE RIVER - FR05B,0.7179815386268845,NA,0.7179815386268845,1,11,0.7223308195719225,0.228165602042196,263.50691679400256,0.3878135798670341,1.3453933538952831
PR-28,PRESUMPSCOT RIVER - PR-28,0.7548567535363355,0.054001689962325634,0.7116929098990784,30,309,0.7658927385626796,0.039818045453313806,263.50691679400256,0.6913700992204471,0.8484481577153125
HR03,HARRASEEKET RIVER - HR03,0.7865524771236627,0.005692696772746746,0.7865112697973481,3,31,0.7904218175347145,0.12604646655776963,263.50691679400256,0.5774225736998275,1.0819920766721978
RR-19,ROYAL RIVER - RR-19,0.9360649225542435,0.06460306345257188,0.9287783253261181,4,32,0.9363463626527452,0.10936163351210047,263.50691679400256,0.7439791406005034,1.1784530815546266
PR-17,PRESUMPSCOT RIVER - PR-17,1.0286730508269049,0.09909237847154623,0.9507677869071158,24,213,1.0766910458362051,0.051532811948862826,263.50691679400256,0.9798570792800191,1.1830945886880428
HR02,HARRASEEKET RIVER - HR02,1.0413865778812792,0.03802272643739071,1.039981345360554,3,27,1.0474100233303387,0.16745240426694524,263.50691679400256,0.7645481124210837,1.4349231122928177
PRV70,WALTON PARK - PRV70,1.0625892878366614,0.056531885079502645,1.0291956064252397,25,218,1.090004718376454,0.053529853567150634,263.50691679400256,0.9895396647594203,1.2006696935910997
RR-01,ROYAL RIVER - RR-01,1.1154978223292613,0.0557185429621285,1.110268099091672,5,44,1.1464660554687052,0.1018891370926828,263.50691679400256,0.9624182875006169,1.3657101422661084
RR-13,ROYAL RIVER - RR-13,1.1168182705042558,0.09504900126522874,1.0939556379820718,7,58,1.1984509496201559,0.09866828605205366,263.50691679400256,1.0191019107907804,1.4093631494920427
RR-06,ROYAL RIVER - RR-06,1.1898009426169096,0.07976605998222809,1.1755140571690148,7,62,1.2693148873878461,0.11103094672808797,263.50691679400256,1.0684853120911166,1.5078918400770929
RR-20,ROYAL RIVER - RR-20,1.1972436269562288,0.07294788062556688,1.1927840882923557,3,29,1.1480399614833814,0.16272318783464715,263.50691679400256,0.8684623738781709,1.5176198679479629
CR-31,COUSINS RIVER - CR-31,1.3223947981325115,0.28848244889396063,1.2048837079764179,5,43,1.3052555448286018,0.15226479031652004,263.50691679400256,1.0373858747443263,1.6422934597270296
CR-44,COUSINS RIVER - CR-44,1.8379229895153193,0.6091841347689407,1.658110216706565,3,24,2.1505937769792838,0.25195387725645607,263.50691679400256,1.7075574137701923,2.7085786728366337
